Timestamp,Qubit,T1 (us),T1 sigma,T2 (us),T2 sigma
5/7/2025 2:44,Qubit1,21.73421,1.344139,1.108088,0.173586
5/7/2025 2:47,Qubit4,27.244604,2.736669,1.111784,0.178451
5/7/2025 2:51,Qubit1,20.578738,1.246934,1.047736,0.152724
5/7/2025 2:54,Qubit4,21.059181,1.76187,1.217223,0.228647
5/7/2025 2:58,Qubit1,21.038144,1.222205,1.144276,0.191377
5/7/2025 3:01,Qubit4,21.752079,1.870608,1.110972,0.21163
5/7/2025 3:05,Qubit1,20.192816,1.11987,1.106396,0.191805
5/7/2025 3:08,Qubit4,34.208166,3.393634,1.128288,0.238868
5/7/2025 3:12,Qubit1,18.349675,1.09438,1.026953,0.187905
5/7/2025 3:15,Qubit4,20.567199,1.831751,1.178309,0.188934
5/7/2025 3:19,Qubit1,17.943075,0.902561,1.065513,0.171408
5/7/2025 3:22,Qubit4,21.158423,2.021122,0.956727,0.173636
5/7/2025 3:26,Qubit1,19.353156,1.070067,1.037745,0.185835
5/7/2025 3:29,Qubit4,25.717794,2.275395,1.206431,0.249096
5/7/2025 3:33,Qubit1,17.676321,1.149461,1.214446,0.215525
5/7/2025 3:36,Qubit4,22.578191,1.937628,1.180346,0.22052
5/7/2025 3:40,Qubit1,18.391395,0.977478,1.105257,0.195066
5/7/2025 3:43,Qubit4,20.220869,2.038458,1.310362,0.245315
5/7/2025 3:47,Qubit1,21.971831,1.302412,1.019133,0.156905
5/7/2025 3:50,Qubit4,23.922908,2.045774,1.27662,0.326287
5/7/2025 3:54,Qubit1,21.550012,1.186617,0.942179,0.20524
5/7/2025 3:57,Qubit4,24.843776,2.475411,1.23609,0.250754
5/7/2025 4:01,Qubit1,18.446316,0.963725,0.984654,0.196194
5/7/2025 4:04,Qubit4,20.128278,1.824611,1.35907,0.324257
5/7/2025 4:08,Qubit1,18.479766,1.110468,1.097078,0.233954
5/7/2025 4:11,Qubit4,18.264045,1.470808,1.406464,0.314867
5/7/2025 4:15,Qubit1,20.182731,1.310437,0.977654,0.192477
5/7/2025 4:18,Qubit4,20.225353,1.388364,1.286539,0.254834
5/7/2025 4:22,Qubit1,19.376658,1.071272,1.084433,0.232475
5/7/2025 4:25,Qubit4,24.039663,2.11505,1.269899,0.249674
5/7/2025 4:29,Qubit1,21.4508,1.252366,1.108043,0.222013
5/7/2025 4:32,Qubit4,27.334191,2.64148,1.445978,0.294076
5/7/2025 4:36,Qubit1,22.345212,1.128576,1.15981,0.219208
5/7/2025 4:39,Qubit4,25.99937,2.311632,1.284227,0.33449
5/7/2025 4:43,Qubit1,18.352507,1.161631,1.132595,0.247576
5/7/2025 4:46,Qubit4,26.097203,2.833929,1.253822,0.292668
5/7/2025 4:50,Qubit1,19.518742,1.097735,1.004255,0.201619
5/7/2025 4:57,Qubit1,18.523777,1.009642,1.146841,0.26849
5/7/2025 5:00,Qubit4,23.358421,2.073493,1.114472,0.268339
5/7/2025 5:04,Qubit1,17.704756,0.960393,1.06229,0.232825
5/7/2025 5:07,Qubit4,28.026886,2.486251,0.577567,0.705107
5/7/2025 5:11,Qubit1,17.62688,0.887458,1.163542,0.228876
5/7/2025 5:14,Qubit4,23.431461,2.735602,1.157178,0.254191
5/7/2025 5:18,Qubit1,16.19675,0.866721,1.080832,0.233208
