Timestamp,Q1 T1 (us),Q1 T1 sigma,Q1 T4 (us),Q4 T1 sigma,mux Q1 T1 (us),muxQ1 T1 sigma,mux Q4 T1 (us),muxQ4 T1 sigma
2025-05-09 22:04:31,39.194226,2.527161,44.158379,3.273544,24.923619,1.476173,44.482710,3.154787
2025-05-09 22:09:08,38.249228,2.600668,50.370050,3.930474,23.660877,1.327398,56.793407,4.980946
2025-05-09 22:13:45,40.583911,2.947432,46.870801,3.391021,26.811363,1.701748,49.686156,4.038014
2025-05-09 22:18:21,44.700861,2.428465,54.372448,4.586846,21.405984,1.112048,50.839153,4.560812
2025-05-09 22:22:58,34.824542,2.104386,54.761183,5.716003,22.141430,1.496743,58.093418,5.907427
2025-05-09 22:27:35,39.159988,2.288903,58.822291,6.236964,21.324208,1.011865,47.260387,4.911970
2025-05-09 22:32:12,35.908614,2.121190,53.971821,5.152845,22.569333,1.309674,52.864705,4.783801
2025-05-09 22:36:49,42.667805,3.050155,49.870662,4.670594,23.963832,1.490839,56.711241,5.130219
2025-05-09 22:41:25,36.616932,1.847085,48.229813,4.122963,25.251882,1.348983,56.583594,5.226581
2025-05-09 22:46:02,36.375643,1.874204,58.192098,5.738782,19.881629,1.229984,50.824666,4.394239
