Timestamp,Q1 T1 (us),Q1 T1 sigma,Q1 T4 (us),Q4 T1 sigma,mux Q1 T1 (us),muxQ1 T1 sigma,mux Q4 T1 (us),muxQ4 T1 sigma
2025-05-09 22:51:02,33.835295,2.050194,59.409121,4.737460,18.582460,1.014372,44.846179,3.017183
2025-05-09 22:58:44,36.512097,1.812404,47.674268,2.519158,20.629453,0.942992,51.047993,3.374612
2025-05-09 23:06:24,38.090966,1.993079,49.242713,3.711958,26.963286,1.269038,45.637434,2.663522
2025-05-09 23:14:05,43.403812,1.934253,48.548794,3.996389,22.325136,1.290307,50.287465,3.868281
2025-05-09 23:21:46,36.170254,1.952114,52.145780,4.004142,21.086645,0.964763,56.222743,4.391782
2025-05-09 23:29:27,38.252135,1.862286,56.576112,4.338358,20.915011,1.144514,49.870508,3.138094
2025-05-09 23:37:07,44.196036,2.211601,42.462412,2.976428,21.450274,1.029254,39.885438,2.576520
2025-05-09 23:44:48,40.208864,2.201373,48.296876,3.494951,23.258548,1.182623,46.387540,3.321441
2025-05-09 23:52:29,32.667623,1.640067,44.479249,2.793016,21.111343,0.991836,62.590979,4.586785
2025-05-10 00:00:09,35.153394,1.752570,53.905922,5.116723,20.574730,1.114298,67.396449,5.122649
2025-05-10 00:07:50,39.984190,1.879435,52.230537,3.991395,25.250430,1.249036,56.650977,3.485856
2025-05-10 00:15:31,37.947338,2.163021,59.673601,4.505558,21.216035,0.972492,55.788936,3.262982
2025-05-10 00:23:12,41.594751,2.079574,54.913419,3.073812,24.166297,1.122663,60.075512,4.202079
2025-05-10 00:30:52,37.547948,2.077711,53.804275,3.410849,26.380054,1.042101,52.578481,3.660381
2025-05-10 00:38:33,44.088510,1.728764,52.543275,3.586737,23.620592,0.890357,66.991784,6.218391
2025-05-10 00:46:14,39.935979,1.518544,51.586366,3.568598,21.635481,0.940948,52.450566,2.847719
2025-05-10 00:53:54,37.956319,1.987435,39.400148,2.568154,22.794660,1.026958,52.822257,3.335895
2025-05-10 01:01:35,39.740574,2.037785,51.946129,2.785184,22.528436,1.041869,56.561073,3.231713
2025-05-10 01:09:16,41.308279,2.100052,59.639027,3.565941,22.341464,1.038679,60.115733,3.948092
2025-05-10 01:16:56,42.267125,2.555644,56.613712,4.080423,19.650287,0.811855,58.484576,4.422534
2025-05-10 01:24:37,36.163675,1.848277,60.624111,3.227611,21.140979,0.945847,56.874663,3.884745
2025-05-10 01:32:18,37.337490,1.856554,54.576005,3.760910,19.745571,0.964653,47.346489,3.315083
2025-05-10 01:39:59,40.586200,2.011917,41.165628,2.872212,24.613955,1.096026,46.010498,2.549825
2025-05-10 01:47:39,49.262877,2.441926,47.940693,3.023714,26.116859,1.047939,47.112708,3.056195
2025-05-10 01:55:20,46.898177,2.646491,44.258448,3.029869,19.916873,0.868896,42.495225,2.318915
2025-05-10 02:03:01,42.380676,1.920497,44.278321,2.736362,24.303506,0.894011,42.015013,2.555866
2025-05-10 02:10:42,39.979111,1.709294,43.147768,2.293535,19.376964,0.802778,39.337764,2.162397
2025-05-10 02:18:22,38.549692,1.967380,38.057145,2.432245,23.685502,1.052092,38.085173,2.376004
2025-05-10 02:26:03,34.472402,1.555747,46.688719,3.105210,15.262296,0.785783,42.738022,2.751046
2025-05-10 02:33:44,27.018644,1.171422,37.971898,2.263357,14.541071,0.908358,44.740125,2.490415
2025-05-10 02:41:24,24.761558,1.069332,38.304154,2.421705,13.166047,0.695677,41.462704,2.631024
2025-05-10 02:49:05,26.371732,1.059465,45.704148,2.876029,16.179528,0.758224,41.379018,2.315789
2025-05-10 02:56:46,34.523525,1.690848,41.836516,2.481008,18.112573,0.742132,43.733528,3.288726
2025-05-10 03:04:27,37.412965,1.656756,45.504705,2.623323,18.890864,0.980282,49.557825,2.859054
2025-05-10 03:12:07,38.955539,1.744733,46.052450,2.483857,21.354967,1.298752,52.420303,3.205421
2025-05-10 03:19:48,41.461154,2.076719,56.184557,3.355457,24.929764,1.027210,60.482958,5.015908
2025-05-10 03:27:29,41.700970,2.044070,57.001256,3.862491,24.574545,0.956440,52.398367,3.184952
2025-05-10 03:35:09,40.602518,1.869139,55.221317,3.912197,19.782792,1.342766,56.414536,4.750514
2025-05-10 03:42:48,38.078453,2.076781,55.976158,3.730615,17.768360,0.898545,59.224362,4.545914
2025-05-10 03:50:28,36.325166,2.169641,50.922318,2.566471,19.983055,1.047639,55.869501,4.726393
2025-05-10 03:58:09,36.776387,1.840735,54.945926,3.711857,24.233118,1.011686,48.917365,3.226926
2025-05-10 04:05:50,38.772828,1.871211,53.149992,4.411472,22.742007,1.120037,64.246953,4.180053
