Timestamp,Q1 T1 (us),Q1 T1 sigma,Q1 T4 (us),Q4 T1 sigma,mux Q1 T1 (us),muxQ1 T1 sigma,mux Q4 T1 (us),muxQ4 T1 sigma
2025-05-11 17:39:33,38.481559,2.495995,54.921531,6.408938,25.834961,0.966200,51.604588,6.156112
2025-05-11 17:47:14,48.552241,2.953256,49.657427,4.873348,25.329746,1.249109,53.306137,6.265156
2025-05-11 17:54:54,51.449749,3.142087,66.506604,8.912131,26.606876,1.125742,46.077725,3.677314
2025-05-11 18:02:36,43.557509,1.887085,51.972338,5.133288,27.680573,1.219781,59.601985,6.870834
2025-05-11 18:10:17,39.435097,3.216313,45.597821,4.987331,28.616955,1.240792,46.995911,4.127688
2025-05-11 18:17:58,43.687447,2.326258,49.778158,4.837540,25.775319,0.991319,44.136278,4.447961
2025-05-11 18:25:38,44.581803,2.009139,54.038353,5.748462,25.898196,1.105505,56.249032,4.702978
2025-05-11 18:33:19,50.178294,2.554979,56.468864,5.326839,26.839031,0.910852,57.700297,6.469989
2025-05-11 18:41:00,42.623198,2.027008,42.830758,2.940501,27.485947,1.397694,53.381078,4.947284
2025-05-11 18:48:40,43.210558,2.069954,52.036735,5.722935,25.004543,1.113859,44.340385,3.407030
2025-05-11 18:56:21,36.719133,1.744002,50.263949,5.129884,27.321353,1.669465,46.682971,4.747890
2025-05-11 19:04:02,41.604095,2.915346,39.995812,2.999188,26.818498,1.170621,49.677197,3.604490
2025-05-11 19:11:43,46.324952,2.319678,54.981291,5.659090,25.286334,1.091425,44.674492,3.060969
2025-05-11 19:19:23,41.323121,2.792906,47.269320,4.410865,27.935332,1.169121,46.515581,3.651870
2025-05-11 19:27:04,41.881267,2.328815,53.662218,4.385449,27.960007,1.600007,54.549332,4.889671
2025-05-11 19:34:45,41.158612,2.339197,55.035280,4.656507,27.708982,1.302769,48.520024,4.167459
2025-05-11 19:42:25,42.584571,2.354864,50.874217,3.623346,26.044084,1.026116,48.907105,4.128859
2025-05-11 19:50:06,39.427962,2.467161,52.716354,5.143031,27.282039,1.367622,45.244202,3.499248
2025-05-11 19:57:46,43.529760,2.041001,54.739361,5.432896,28.173177,1.154197,54.985627,4.460296
2025-05-11 20:05:28,50.221537,2.592076,49.338959,4.268243,25.226759,1.166346,53.157553,5.242751
2025-05-11 20:13:08,50.811688,2.726397,46.147207,3.183943,25.360405,1.062133,46.803052,4.076011
2025-05-11 20:20:49,48.641206,2.648790,47.014826,2.845820,27.383098,1.128432,56.610640,5.432445
2025-05-11 20:28:30,46.256600,2.317814,51.107672,4.623407,24.932300,1.160656,54.215925,5.170722
2025-05-11 20:36:10,48.653928,2.338269,55.020137,4.519558,26.842564,0.970071,53.956267,3.351300
2025-05-11 20:43:51,48.210921,1.977360,53.080510,4.171040,28.808606,1.334587,52.256140,4.455557
2025-05-11 20:51:32,44.436901,2.053269,56.496514,4.613058,29.069523,1.529248,47.770284,3.673930
2025-05-11 20:59:12,43.613930,2.978314,50.628496,4.621626,24.360983,0.876480,55.553515,4.847220
2025-05-11 21:06:53,41.857320,2.452633,57.082607,4.876291,24.991872,1.072906,51.839413,4.097870
2025-05-11 21:14:33,57.402477,3.321660,50.655900,4.079285,26.346836,1.351111,50.784780,3.857535
2025-05-11 21:22:14,45.417820,2.077987,52.793653,4.747334,24.811239,1.292374,52.036499,5.121207
2025-05-11 21:29:55,47.632302,2.314129,47.418584,4.190578,24.912611,1.151152,52.454404,4.903871
2025-05-11 21:37:36,54.011620,2.790108,50.949393,3.709814,26.885089,1.215827,53.824548,4.955791
2025-05-11 21:45:17,52.912743,3.066807,60.583648,5.703626,28.295549,0.973753,51.112447,4.509682
2025-05-11 21:52:57,51.465437,2.484972,55.244837,4.362467,27.661291,1.212451,54.266696,4.745217
2025-05-11 22:00:38,46.174909,2.139341,54.495985,4.494137,26.016808,0.971274,64.027110,6.090057
2025-05-11 22:08:18,51.698661,2.661127,51.024002,4.080075,29.265332,1.010674,54.595560,5.214465
2025-05-11 22:15:59,45.280471,3.344139,60.904576,6.126753,26.114770,1.117569,46.000256,3.501843
2025-05-11 22:23:40,34.996680,2.338849,49.506712,3.694602,27.791953,1.826780,46.275934,3.923401
2025-05-11 22:31:21,33.315705,2.245263,52.889631,4.335836,30.483593,2.327928,54.996649,5.101899
2025-05-12 01:15:59,33.991589,2.658242,45.748110,2.985654,27.703215,1.306800,47.178995,4.050002
2025-05-12 01:23:40,44.484314,2.621978,52.188743,4.585538,28.471225,1.285658,46.204247,2.997125
2025-05-12 01:31:21,45.511162,2.529714,49.132778,3.721496,26.946969,1.125251,52.955156,3.927440
2025-05-12 01:39:02,42.278884,2.663654,55.340031,4.578307,27.855502,1.105146,51.701421,4.923513
2025-05-12 01:46:42,38.043768,2.990128,49.206418,4.152553,27.919400,1.289488,53.294035,4.010847
2025-05-12 01:54:23,41.662434,1.866147,55.538058,4.631446,29.605963,1.421135,43.816180,3.807014
2025-05-12 02:02:04,43.740901,3.232471,46.128708,3.176350,26.463905,1.138646,49.492696,4.441358
2025-05-12 02:09:45,42.379827,2.340417,50.928802,3.967947,28.970665,1.138110,47.865683,3.624393
2025-05-12 02:17:25,47.021650,2.635965,43.478508,3.298884,30.639700,1.562465,48.549136,3.454754
2025-05-12 02:25:06,43.226652,2.175927,43.613623,3.077744,28.205710,1.142417,60.788680,5.044751
2025-05-12 02:32:47,49.521593,3.079988,44.424977,3.300519,25.997165,1.143751,48.286505,3.340265
2025-05-12 02:40:27,44.963706,2.571894,52.512603,4.822730,25.120038,1.242771,51.283583,4.189635
2025-05-12 02:48:08,41.809049,2.379742,58.970356,5.031930,28.220110,1.157494,55.377180,4.506090
2025-05-12 02:55:49,45.785954,2.777477,51.087128,4.601403,26.462193,1.161629,59.184500,4.974338
2025-05-12 03:03:29,39.051845,2.474884,50.455815,3.406045,24.521608,1.010028,48.042768,4.608200
2025-05-12 03:11:10,49.460790,2.257616,42.604403,2.946820,26.085977,0.829536,60.355461,5.934618
2025-05-12 03:18:51,44.954076,2.194739,55.781091,3.708270,26.399984,1.356054,44.855877,3.307336
2025-05-12 03:26:32,40.648899,2.555092,50.879118,4.260665,29.503520,1.863417,43.667138,3.163510
2025-05-12 03:34:12,46.704345,2.629874,43.847759,3.605686,25.958843,1.130795,48.724587,3.656671
2025-05-12 03:41:53,44.447592,2.807406,45.028164,3.686068,26.396380,1.357079,48.240509,3.757063
