Timestamp,Qubit,T1 (us),T1 sigma,T2 (us),T2 sigma
2025-05-09 01:26:14,Qubit1,22.273906,0.955183,0.976956,0.180675
2025-05-09 01:26:14,Qubit4,51.736862,3.556592,1.112423,0.178099
2025-05-09 01:29:38,Qubit1,22.327824,1.350889,0.995160,0.193169
2025-05-09 01:29:39,Qubit4,54.326191,4.242148,1.290918,0.258851
2025-05-09 01:33:03,Qubit1,24.715369,1.673065,1.092430,0.336069
2025-05-09 01:33:03,Qubit4,51.438986,3.427183,1.262524,0.242358
2025-05-09 01:36:27,Qubit1,23.905608,1.344604,0.992406,0.186861
2025-05-09 01:36:27,Qubit4,47.711141,3.068862,1.213623,0.226775
2025-05-09 01:39:51,Qubit1,22.324446,1.189304,0.931281,0.151309
2025-05-09 01:39:51,Qubit4,55.751587,3.957146,1.194674,0.236987
2025-05-09 01:43:15,Qubit1,24.426464,1.095166,1.012145,0.223322
2025-05-09 01:43:15,Qubit4,54.650773,3.522542,1.047526,0.195015
2025-05-09 01:46:39,Qubit1,26.272968,1.490645,1.028350,0.185852
2025-05-09 01:46:39,Qubit4,46.869752,3.374301,1.299217,0.245190
2025-05-09 01:50:03,Qubit1,22.591971,1.251634,1.064846,0.158916
2025-05-09 01:50:04,Qubit4,54.480523,4.112057,1.269704,0.251477
2025-05-09 01:53:28,Qubit1,23.946531,1.105237,1.120399,0.208224
2025-05-09 01:53:28,Qubit4,57.503475,4.307843,1.136092,0.231911
2025-05-09 01:56:52,Qubit1,23.456787,1.082378,1.096248,0.172125
2025-05-09 01:56:52,Qubit4,56.598411,4.580291,1.139957,0.230702
2025-05-09 02:00:16,Qubit1,21.887137,1.133885,0.950426,0.191005
2025-05-09 02:00:17,Qubit4,56.895654,4.635570,1.098229,0.176546
2025-05-09 02:03:41,Qubit1,21.488429,1.047299,1.071997,0.205762
2025-05-09 02:03:41,Qubit4,59.299546,4.063734,1.094116,0.217546
2025-05-09 02:07:05,Qubit1,21.566397,0.907200,0.979586,0.170549
2025-05-09 02:07:05,Qubit4,52.855950,3.903191,1.151230,0.228209
2025-05-09 02:10:29,Qubit1,23.408815,1.235755,0.994090,0.169668
2025-05-09 02:10:29,Qubit4,52.221496,3.518735,1.247246,0.258360
2025-05-09 02:13:54,Qubit1,24.639960,1.151255,0.951134,0.164771
2025-05-09 02:13:54,Qubit4,58.748799,5.168515,1.254099,0.235539
2025-05-09 02:17:18,Qubit1,27.066781,1.225146,0.955815,0.173022
2025-05-09 02:17:18,Qubit4,48.919211,2.886518,1.066303,0.196178
2025-05-09 02:20:42,Qubit1,23.143885,1.352893,0.970056,0.198560
2025-05-09 02:20:42,Qubit4,57.025440,4.791879,1.163657,0.210741
2025-05-09 02:24:07,Qubit1,27.383096,1.148267,1.002120,0.193455
2025-05-09 02:24:07,Qubit4,57.544353,4.105022,1.174048,0.230492
2025-05-09 02:27:31,Qubit1,26.523536,1.341251,1.002763,0.156448
2025-05-09 02:27:31,Qubit4,65.136085,5.708625,1.109926,0.246771
2025-05-09 02:30:55,Qubit1,22.612992,1.206671,1.052446,0.218878
2025-05-09 02:30:56,Qubit4,49.990995,3.507967,1.218531,0.210813
2025-05-09 02:34:20,Qubit1,19.573675,0.901029,1.037579,0.184285
2025-05-09 02:34:20,Qubit4,53.009996,3.648781,1.198479,0.211953
2025-05-09 02:37:44,Qubit1,24.658316,1.308457,1.155161,0.244017
2025-05-09 02:37:44,Qubit4,55.716756,3.805891,1.158684,0.226897
2025-05-09 02:41:08,Qubit1,25.082538,1.206330,1.001697,0.193250
2025-05-09 02:41:09,Qubit4,49.897140,3.188781,1.140007,0.247735
2025-05-09 02:44:33,Qubit1,23.456850,1.118212,0.932771,0.157222
2025-05-09 02:44:33,Qubit4,58.321229,5.038230,1.247393,0.206407
2025-05-09 02:47:57,Qubit1,26.333481,1.206735,0.997319,0.174602
2025-05-09 02:47:57,Qubit4,57.949132,4.806455,1.245361,0.253292
2025-05-09 02:51:21,Qubit1,24.382030,1.381430,0.985013,0.173421
2025-05-09 02:51:22,Qubit4,58.058634,4.704407,1.228658,0.248553
2025-05-09 02:54:46,Qubit1,25.654075,1.136431,1.057295,0.192597
2025-05-09 02:54:46,Qubit4,53.505985,3.833802,1.423173,0.295649
2025-05-09 02:58:10,Qubit1,27.840423,1.544306,1.147109,0.246714
2025-05-09 02:58:10,Qubit4,58.951808,5.416381,1.303161,0.278438
2025-05-09 03:01:35,Qubit1,24.380356,1.234539,1.028508,0.188977
2025-05-09 03:01:35,Qubit4,49.393593,3.675410,1.157124,0.220727
2025-05-09 03:04:59,Qubit1,27.428253,1.225212,1.051268,0.215355
