Timestamp,Q1 T1 (us),Q1 T1 sigma,Q1 T4 (us),Q4 T1 sigma,mux Q1 T1 (us),muxQ1 T1 sigma,mux Q4 T1 (us),muxQ4 T1 sigma
5/12/2025 15:59,38.564311,1.567111,61.668814,5.745363,39.934178,1.790105,58.401882,5.803614
5/12/2025 16:12,33.718558,1.509196,53.798679,4.326161,38.289358,1.831169,50.907568,4.018411
5/12/2025 16:25,28.744809,1.140385,60.381074,5.457412,30.589249,1.271945,68.514103,8.121682
5/12/2025 16:54,43.813117,2.167858,52.032294,4.738972,40.858516,2.14193,47.470625,3.818733
5/12/2025 17:07,49.170587,2.439986,53.662574,4.673653,42.71957,1.808909,55.560083,4.710475
5/12/2025 17:20,45.481994,1.985359,57.442616,5.776864,47.172442,2.323112,46.398753,4.02036
5/12/2025 17:33,38.053589,1.7299,58.144134,5.680864,40.585155,2.041055,53.365806,5.235799
5/12/2025 17:46,41.643876,2.001121,66.878582,7.938654,37.376575,2.258187,48.943721,3.780806
5/12/2025 17:59,38.615528,1.800278,65.066026,6.354116,41.042414,1.828806,45.673987,3.457059
5/12/2025 18:12,46.888796,2.556025,48.356202,3.721817,43.159734,1.780627,65.961218,6.085871
5/12/2025 18:25,45.082334,2.079189,56.238075,4.601636,45.347996,2.097692,55.656852,4.441002
5/12/2025 18:38,50.268897,2.285541,47.176579,4.130317,48.784175,2.21328,50.667229,3.906818
5/12/2025 18:51,45.917132,2.062672,54.041209,4.471838,48.187417,2.328959,46.940002,3.784708
5/12/2025 19:04,45.117385,1.850622,52.249945,4.286629,39.52981,1.456747,58.894879,5.849901
5/12/2025 19:17,40.859008,1.652976,52.160561,5.157433,42.771203,1.746635,67.916147,7.046053
5/12/2025 19:30,46.177225,2.322092,57.59887,5.545823,48.771942,2.235164,54.008677,4.82216
5/12/2025 19:43,45.313881,2.201842,59.106773,6.260287,37.856336,1.849576,80.633245,10.822239
5/12/2025 19:56,36.550787,1.938315,58.69557,5.568681,32.929656,1.633524,54.838403,5.220796
5/12/2025 20:09,35.767611,1.688639,50.718744,4.133301,33.010092,1.58335,47.429655,3.33574
5/12/2025 20:22,33.305118,1.799317,57.901859,5.227797,34.810323,2.284395,50.883958,3.742909
5/12/2025 20:35,36.675738,1.523273,53.391298,5.137352,37.171901,1.742317,55.42785,5.210382
5/12/2025 20:49,37.631083,1.716676,50.909192,4.921764,39.411604,2.219358,40.297401,3.222249
5/12/2025 21:02,43.335939,1.909618,47.583589,4.201361,46.816243,2.363044,54.765742,5.32804
5/12/2025 21:15,45.074609,2.077059,52.396642,4.78674,45.726218,2.264222,54.635962,5.363627
5/12/2025 21:28,44.427913,1.985287,57.112421,5.972106,37.667146,2.079097,74.661977,9.62909
5/12/2025 21:41,34.94446,2.030367,50.283364,5.229531,36.036362,1.576622,58.851394,6.472152
5/12/2025 21:54,46.62757,2.249897,55.795273,5.996616,35.349853,1.7524,53.987454,5.086668
5/12/2025 22:07,36.568769,1.448602,57.712419,5.569542,34.408316,2.197482,52.917888,5.297164
5/12/2025 22:20,43.579854,1.985427,47.435203,4.00287,35.093148,1.927574,52.901385,5.285953
5/12/2025 22:33,35.706448,1.775664,54.525669,5.533724,40.090596,2.03105,61.389068,5.558591
5/12/2025 22:46,38.139194,1.545267,50.045956,4.374741,28.411757,1.088929,57.058749,5.938136
5/12/2025 22:59,34.267877,1.550262,46.231257,4.303596,37.820857,1.446865,44.420871,3.220193
5/12/2025 23:12,38.369845,2.131307,50.371457,4.54856,36.068232,1.932787,57.064282,5.389758
5/12/2025 23:25,36.616726,1.522362,49.953602,4.272869,41.56413,2.01588,59.683051,5.983638
5/12/2025 23:38,39.488481,1.818392,56.821643,5.366168,41.839157,1.864821,67.059891,7.430454
